sequence,revcom,phylum,class,order,family,genus,species
GCDLV3C16JWUA0,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JWUCZ,False,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Unclassified,Unclassified
GCDLV3C16JWWOC,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JWWWT,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JWXUJ,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JWYC4,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GCDLV3C16JWYK5,False,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Unclassified
GCDLV3C16JWZ4A,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JX1JF,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GCDLV3C16JX2KX,False,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JX2T9,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GCDLV3C16JX3DV,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JX3E7,False,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_bennonis
GCDLV3C16JX3EL,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JX3Q8,True,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Unclassified
GCDLV3C16JX3RZ,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JX4EI,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GCDLV3C16JX4G2,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GCDLV3C16JX55O,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GCDLV3C16JX6AV,False,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Unclassified,Unclassified
GCDLV3C16JX6IO,False,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Myceligenerans,Myceligenerans_halotolerans
GCDLV3C16JX6NH,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JX893,False,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Unclassified,Unclassified
GCDLV3C16JXA3G,True,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unclassified
GCDLV3C16JXAZT,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXD3O,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXD8A,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GCDLV3C16JXDXE,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXFYM,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXHNE,True,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Unclassified
GCDLV3C16JXIN5,False,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXJ1F,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXJIH,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GCDLV3C16JXJJO,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXJPX,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXKJB,True,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unclassified
GCDLV3C16JXL40,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Unclassified,Unclassified
GCDLV3C16JXMUW,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXMY2,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GCDLV3C16JXMZC,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Mogibacterium,Unclassified
GCDLV3C16JXNJ8,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXQ5Y,True,Firmicutes,Bacilli,Bacillales,Unclassified,Unclassified,Unclassified
GCDLV3C16JXQC2,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXRU7,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GCDLV3C16JXS1R,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Mogibacterium,Unclassified
GCDLV3C16JXSDE,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXSEH,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Mogibacterium,Unclassified
GCDLV3C16JXSNS,False,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Unclassified
GCDLV3C16JXSR8,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXT45,False,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Unclassified
GCDLV3C16JXTS3,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GCDLV3C16JXV9B,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXVDF,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXW1C,False,Bacteroidetes,Bacteroidia,Bacteroidales,Unclassified,Unclassified,Unclassified
GCDLV3C16JXY9F,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JXZSU,True,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Unclassified
GCDLV3C16JXZTP,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JY04L,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JY056,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JY0MJ,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JY1J6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JY2EV,True,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Weeksella,Weeksella_virosa
GCDLV3C16JY4YZ,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JY659,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JY8FH,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JY8HW,False,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Unclassified
GCDLV3C16JY8IP,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GCDLV3C16JY9YM,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYATX,True,Actinobacteria,Actinobacteria,Micrococcales,Unclassified,Unclassified,Unclassified
GCDLV3C16JYC7T,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GCDLV3C16JYCT9,False,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Unclassified,Unclassified
GCDLV3C16JYDXE,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GCDLV3C16JYE96,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYEA9,False,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYEHB,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GCDLV3C16JYESC,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYEX4,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYEZP,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYFF3,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GCDLV3C16JYFJB,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYHM5,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYIPJ,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYLZ2,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYMCZ,False,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Unclassified,Unclassified
GCDLV3C16JYNUL,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYPDZ,True,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unclassified
GCDLV3C16JYQN8,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GCDLV3C16JYSLN,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYSMY,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYU76,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GCDLV3C16JYUSE,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYV2X,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYVGN,False,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Unclassified,Unclassified
GCDLV3C16JYVOE,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GCDLV3C16JYX39,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYXP6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYXPJ,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GCDLV3C16JYYO1,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JYYYZ,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GCDLV3C16JYZ0G,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unclassified
GCDLV3C16JZ13H,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZ25X,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZ3FD,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZ44P,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZ4GC,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZ5EW,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZ8QW,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZ9FZ,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZ9K1,False,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Peptococcus_niger
GCDLV3C16JZAFG,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GCDLV3C16JZBKH,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GCDLV3C16JZCUG,True,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Unclassified
GCDLV3C16JZDD1,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unclassified
GCDLV3C16JZDRT,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GCDLV3C16JZE7C,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unclassified
GCDLV3C16JZEW0,False,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Unclassified,Unclassified
GCDLV3C16JZHU4,False,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Negativicoccus,Negativicoccus_succinicivorans
GCDLV3C16JZI3H,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZI4E,False,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Peptococcus_niger
GCDLV3C16JZJ7H,False,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Peptococcus_niger
GCDLV3C16JZJ9W,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZJKY,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GCDLV3C16JZKD7,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZLE5,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZN4N,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZNRG,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZP16,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZPY1,False,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZQ84,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,Unclassified
GCDLV3C16JZQX2,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZRG8,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZSM8,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GCDLV3C16JZXI5,True,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZYVF,False,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Unclassified
GCDLV3C16JZZ0O,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GCDLV3C16JZZ4S,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F534D,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unclassified
GEQJ1S110F53HB,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GEQJ1S110F54X6,True,Actinobacteria,Actinobacteria,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F557V,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GEQJ1S110F55N3,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GEQJ1S110F56DX,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GEQJ1S110F56RR,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GEQJ1S110F56WZ,True,Actinobacteria,Actinobacteria,Micrococcales,Unclassified,Unclassified,Unclassified
GEQJ1S110F57F5,True,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Unclassified,Unclassified
GEQJ1S110F58NX,True,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unclassified
GEQJ1S110F58W8,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GEQJ1S110F5982,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GEQJ1S110F59CK,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GEQJ1S110F5ADD,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F5JA3,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F5JJ6,False,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F5JL5,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F5JMG,True,Actinobacteria,Actinobacteria,Micrococcales,Unclassified,Unclassified,Unclassified
GEQJ1S110F5MIK,True,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unclassified
GEQJ1S110F5NCN,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F5NR2,False,Actinobacteria,Coriobacteriia,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F5O0N,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GEQJ1S110F5P23,True,Actinobacteria,Actinobacteria,Micrococcales,Unclassified,Unclassified,Unclassified
GEQJ1S110F5P5T,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F5S01,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GEQJ1S110F5TR2,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GEQJ1S110F5TTK,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F5URX,False,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus
GEQJ1S110F5WE2,False,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Unclassified
GEQJ1S110F5XIP,True,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Unclassified
GEQJ1S110F5Y6O,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F5ZAY,True,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unclassified
GEQJ1S110F5ZCW,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GEQJ1S110F5ZDP,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F5ZOY,False,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Unclassified,Unclassified
GEQJ1S110F600J,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unclassified
GEQJ1S110F60XV,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GEQJ1S110F6102,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F61B8,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GEQJ1S110F61W3,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F62EW,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F6384,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F64CP,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GEQJ1S110F64JD,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GEQJ1S110F64SX,True,Firmicutes,Bacilli,Bacillales,Unclassified,Unclassified,Unclassified
GEQJ1S110F65XF,True,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Unclassified
GEQJ1S110F6779,True,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F67PM,False,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Pelospora,Pelospora_glutarica
GEQJ1S110F67PT,False,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Unclassified
GEQJ1S110F67W4,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F685T,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Mogibacterium,Unclassified
GEQJ1S110F689H,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Gottschalkia,Unclassified
GEQJ1S110F68BU,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Unclassified
GEQJ1S110F69ZM,False,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F69ZX,True,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unclassified
GEQJ1S110F6ACG,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F6AHV,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F6BFK,False,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Unclassified,Unclassified
GEQJ1S110F6BZR,False,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Unclassified,Unclassified
GEQJ1S110F6C2O,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GEQJ1S110F6CBI,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F6CQS,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GEQJ1S110F6CVO,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GEQJ1S110F6E13,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GEQJ1S110F6F8E,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F6FF7,False,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,Petrimonas_sulfuriphila
GEQJ1S110F6FSD,True,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unclassified,Unclassified,Unclassified
GEQJ1S110F6IGS,True,Firmicutes,Bacilli,Bacillales,Unclassified,Unclassified,Unclassified
GEQJ1S110F6IK8,True,Firmicutes,Bacilli,Bacillales,Unclassified,Unclassified,Unclassified
GEQJ1S110F6J1I,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unclassified
GEQJ1S110F6JKF,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Unclassified,Unclassified
GEQJ1S110F6JMA,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F6JOT,True,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Unclassified
GEQJ1S110F6KO1,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unclassified
GEQJ1S110F6LRM,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F6M0L,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F6MU7,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GEQJ1S110F6N2D,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GEQJ1S110F6N60,False,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Unclassified,Unclassified
GEQJ1S110F6NZF,True,Firmicutes,Bacilli,Bacillales,Unclassified,Unclassified,Unclassified
GEQJ1S110F6R9Y,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GEQJ1S110F6S14,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Unclassified,Unclassified
GEQJ1S110F6SS4,True,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Unclassified
GEQJ1S110F6T7J,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,Unclassified
GEQJ1S110F6VIM,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GEQJ1S110F6VT7,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GEQJ1S110F6X3M,True,Actinobacteria,Actinobacteria,Micrococcales,Unclassified,Unclassified,Unclassified
GEQJ1S110F6XTI,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Unclassified,Unclassified
GEQJ1S110F6YQV,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GEQJ1S110F6ZF2,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GEQJ1S110F708T,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GEQJ1S110F70Q8,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax,Anaerovorax_odorimutans
GEQJ1S110F70XI,False,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Unclassified,Unclassified
GEQJ1S110F71BN,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GEQJ1S110F72CI,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GEQJ1S110F72UL,True,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Unclassified
GEQJ1S110F74IG,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
